account_id,name,address,latest_update_datetime,queue,status
49999,James Miller,"47 Riverside Drive, Limerick",2025-01-01 00:27:27,INSOLVENCY,INS4
19372,Michael Johnson,"33 Maple Avenue, Belfast",2025-01-01 00:40:17,LEGAL,LEG_NOT
52137,David Brown,"158 Cedar Lane, Sligo",2025-01-01 01:31:02,TRACE,GONEAWAY
83620,David Wilson,"122 Pine Road, Waterford",2025-01-01 02:28:39,TRACE,GONEAWAY
49171,John Martinez,"172 Hillcrest Road, Dublin",2025-01-01 03:48:21,OTHER,ARCHIVED
10474,John Rodriguez,"95 Elm Street, Cork",2025-01-01 08:37:12,COLLECTIONS,TELSOLUTIONS1
60663,Maria Smith,"86 Hillcrest Road, Cork",2025-01-01 12:06:27,SETTLED,SETTLED
46545,David Davis,"101 Sunset Boulevard, Waterford",2025-01-01 12:16:26,INSOLVENCY,INS2
95324,Emma Brown,"136 Cedar Lane, Sligo",2025-01-01 14:17:41,PAYING,PAY CURR
48786,Sophia Martinez,"56 Hillcrest Road, Dublin",2025-01-01 14:38:07,COLLECTIONS,TELSOLUTIONS1
94638,David Wilson,"139 Cedar Lane, Cork",2025-01-01 16:10:01,TRACE,GONEAWAY
43314,Michael Miller,"13 Elm Street, Belfast",2025-01-01 17:34:47,INSOLVENCY,INS1
31658,Alex Wilson,"73 Riverside Drive, Cork",2025-01-01 17:54:45,COLLECTIONS,CANCEL2
98298,Sarah Williams,"118 Elm Street, Cork",2025-01-01 18:21:02,PAYING,PAY PROP
86556,Michael Brown,"113 Elm Street, Kilkenny",2025-01-01 19:14:56,LEGAL,LEG_TIT
15248,Maria Martinez,"86 Elm Street, Belfast",2025-01-01 20:42:30,OTHER,ARCHIVED
90725,David Williams,"35 Oak Street, Cork",2025-01-01 21:41:14,TRACE,GONEAWAY
14117,Sophia Jones,"44 Cedar Lane, Dublin",2025-01-02 00:58:26,COLLECTIONS,PRIME
47808,James Garcia,"200 Elm Street, Belfast",2025-01-02 03:25:41,PAYING,PAY PROP
50973,Emma Miller,"128 Maple Avenue, Galway",2025-01-02 03:59:10,OTHER,ARCHIVED
10506,David Jones,"106 Pine Road, Waterford",2025-01-02 06:19:14,OTHER,ARCHIVED
83652,Maria Brown,"121 Elm Street, Limerick",2025-01-02 12:40:52,COLLECTIONS,PRIME
31903,Alex Brown,"183 Cedar Lane, Waterford",2025-01-02 18:09:01,TRACE,GONEAWAY
63099,Alex Martinez,"170 Elm Street, Kilkenny",2025-01-03 09:47:05,INSOLVENCY,INSP
28442,Emma Rodriguez,"145 Elm Street, Dublin",2025-01-03 12:07:00,COLLECTIONS,CASSIST2
21707,Michael Rodriguez,"81 Pine Road, Dublin",2025-01-04 01:26:02,INSOLVENCY,INS4
82095,Sophia Johnson,"114 Riverside Drive, Galway",2025-01-04 22:50:27,OTHER,ARCHIVED
38899,Laura Smith,"119 Sunset Boulevard, Waterford",2025-01-05 19:51:25,COLLECTIONS,PRIME
74894,Emma Garcia,"190 Sunset Boulevard, Belfast",2025-01-05 21:12:23,OTHER,ARCHIVED
53016,Laura Johnson,"197 Oak Street, Belfast",2025-01-06 02:20:58,TRACE,GONEAWAY
91099,John Brown,"171 Elm Street, Belfast",2025-01-06 06:54:42,COLLECTIONS,CANCEL4
84455,Daniel Smith,"118 Maple Avenue, Galway",2025-01-06 08:41:19,COLLECTIONS,TELSOLUTIONS1
16628,Sarah Rodriguez,"164 Pine Road, Galway",2025-01-06 13:31:50,SETTLED,SETTLED
73556,Emma Rodriguez,"154 Oak Street, Belfast",2025-01-06 15:24:18,COLLECTIONS,TELSOLUTIONS1
53131,Emma Garcia,"41 Elm Street, Sligo",2025-01-06 15:39:57,TRACE,GONEAWAY
23982,James Jones,"81 Pine Road, Kilkenny",2025-01-06 15:56:04,LEGAL,HOLD FO
48880,Alex Martinez,"85 Pine Road, Kilkenny",2025-01-06 16:46:03,TRACE,GONEAWAY
82007,Sarah Williams,"99 Oak Street, Cork",2025-01-06 17:13:30,LEGAL,LEG VERIF 1
53017,Daniel Smith,"120 Hillcrest Road, Belfast",2025-01-06 17:28:45,TRACE,GONEAWAY
19986,Alex Smith,"130 Oak Street, Galway",2025-01-06 17:50:55,OTHER,ARCHIVED
88706,Laura Williams,"49 Elm Street, Kilkenny",2025-01-06 20:26:35,TRACE,GONEAWAY
35504,Daniel Garcia,"53 Cedar Lane, Kilkenny",2025-01-06 22:21:04,PAYING,PAY CURR
76500,John Garcia,"176 Sunset Boulevard, Cork",2025-01-07 19:15:44,COLLECTIONS,CASSIST2
