account_id,name,address,latest_update_datetime,queue,status
95232,John Rodriguez,"124 Sunset Boulevard, Limerick",2025-11-24 10:58:36,LEGAL,LEG VERIF 2
19523,Michael Wilson,"179 Elm Street, Sligo",2025-11-23 04:13:42,COLLECTIONS,CANCEL4
77356,Daniel Martinez,"158 Oak Street, Sligo",2025-11-21 17:50:38,COLLECTIONS,PRIME_D
58244,Emma Wilson,"6 Hillcrest Road, Limerick",2025-11-19 16:09:34,COLLECTIONS,PRIME_D
73980,Laura Martinez,"92 Cedar Lane, Limerick",2025-11-11 20:30:43,COLLECTIONS,CANCEL4
11356,Maria Williams,"147 Oak Street, Galway",2025-11-11 05:34:49,LEGAL,LEG VERIF 2
89176,Sarah Johnson,"105 Cedar Lane, Galway",2025-11-09 18:07:38,COLLECTIONS,CANCEL4
77395,Olivia Jones,"178 Riverside Drive, Kilkenny",2025-08-09 07:13:20,LEGAL,LEG VERIF 1
67687,Maria Martinez,"196 Riverside Drive, Belfast",2025-05-13 21:34:47,COLLECTIONS,CANCEL4
61934,Sarah Johnson,"36 Maple Avenue, Cork",2025-09-16 13:07:35,COLLECTIONS,CANCEL2
13416,Emma Wilson,"58 Pine Road, Dublin",2025-09-03 12:50:09,COLLECTIONS,PRIME
62345,Laura Miller,"189 Cedar Lane, Cork",2025-08-02 09:00:00,COLLECTIONS,PRIME_D
43882,David Smith,"20 Sunset Boulevard, Belfast",2025-11-01 07:56:52,COLLECTIONS,CASSIST2
58892,Maria Johnson,"192 Cedar Lane, Dublin",2025-10-25 03:07:26,LEGAL,LEG VERIF 2
26232,Daniel Davis,"106 Pine Road, Belfast",2025-10-06 01:40:15,COLLECTIONS,PRIME_D
98794,Sarah Martinez,"10 Maple Avenue, Cork",2025-06-09 13:21:24,LEGAL,LEG_NOT
95599,Michael Wilson,"70 Maple Avenue, Sligo",2025-10-04 21:05:07,LEGAL,LEG VERIF 1
60840,James Miller,"74 Riverside Drive, Limerick",2025-09-22 05:11:19,COLLECTIONS,TELSOLUTIONS4
51216,Olivia Martinez,"180 Pine Road, Waterford",2025-09-17 02:56:02,LEGAL,LEG_TIT
23982,James Jones,"81 Pine Road, Kilkenny",2025-04-09 17:45:35,LEGAL,HOLD FO
52219,David Davis,"157 Oak Street, Kilkenny",2024-12-20 04:59:56,COLLECTIONS,CANCEL4
66787,Alex Rodriguez,"26 Elm Street, Sligo",2025-09-11 21:53:44,COLLECTIONS,PAY OVER
45495,Michael Smith,"140 Elm Street, Kilkenny",2025-08-26 19:41:50,COLLECTIONS,TELSOLUTIONS4
91173,Sarah Wilson,"18 Pine Road, Cork",2025-03-14 09:52:45,LEGAL,HOLD FO
92255,Sophia Martinez,"67 Maple Avenue, Sligo",2025-08-18 07:25:49,LEGAL,LEG VERIF 1
77535,Michael Johnson,"25 Maple Avenue, Sligo",2025-08-09 21:48:50,COLLECTIONS,CANCEL2
85241,Emma Brown,"57 Maple Avenue, Kilkenny",2025-03-27 10:39:40,LEGAL,LEG VERIF 1
91142,Michael Rodriguez,"159 Pine Road, Waterford",2025-03-27 00:47:16,COLLECTIONS,CASSIST2
75042,Sophia Jones,"52 Cedar Lane, Limerick",2025-08-01 16:19:50,COLLECTIONS,CASSIST2
47450,Olivia Smith,"2 Cedar Lane, Limerick",2025-07-20 18:20:55,LEGAL,LEG VERIF 2
54885,Olivia Williams,"53 Riverside Drive, Galway",2025-07-01 23:44:19,COLLECTIONS,CANCEL4
31463,Sarah Garcia,"113 Hillcrest Road, Galway",2025-02-24 14:16:44,COLLECTIONS,CASSIST2
36291,David Davis,"39 Elm Street, Dublin",2025-02-21 13:46:04,COLLECTIONS,PAY OVER
17346,Daniel Wilson,"37 Riverside Drive, Limerick",2025-11-23 12:22:31,COLLECTIONS,CANCEL4
72278,Laura Davis,"100 Cedar Lane, Limerick",2025-11-16 01:55:19,COLLECTIONS,PAY OVER
42494,Olivia Rodriguez,"146 Pine Road, Waterford",2025-11-10 23:49:33,COLLECTIONS,PRIME
78416,Laura Wilson,"31 Hillcrest Road, Limerick",2025-02-11 03:00:24,LEGAL,LEG VERIF 1
39966,Alex Johnson,"2 Riverside Drive, Limerick",2025-02-21 03:47:21,LEGAL,HOLD FO
75723,Olivia Williams,"141 Pine Road, Waterford",2025-06-08 01:06:20,COLLECTIONS,TELSOLUTIONS1
87394,Daniel Smith,"142 Sunset Boulevard, Waterford",2025-02-27 20:22:08,COLLECTIONS,CANCEL2
60001,Alex Brown,"57 Cedar Lane, Kilkenny",2025-01-27 01:17:44,LEGAL,HOLD FO
91099,John Brown,"171 Elm Street, Belfast",2025-01-17 15:13:09,LEGAL,HOLD FO
39776,Maria Davis,"113 Maple Avenue, Kilkenny",2025-01-12 00:13:32,COLLECTIONS,CASSIST2
78078,John Miller,"48 Riverside Drive, Limerick",2025-10-12 11:06:11,COLLECTIONS,CANCEL2
97280,Maria Wilson,"104 Oak Street, Galway",2025-04-26 16:53:24,LEGAL,LEG VERIF 1
29836,John Johnson,"74 Sunset Boulevard, Waterford",2025-10-01 16:22:53,COLLECTIONS,TELSOLUTIONS4
63099,Alex Martinez,"170 Elm Street, Kilkenny",2025-08-10 20:18:12,COLLECTIONS,CANCEL4
83652,Maria Brown,"121 Elm Street, Limerick",2025-01-02 12:40:52,COLLECTIONS,PRIME
82789,Maria Garcia,"57 Oak Street, Galway",2025-09-03 14:37:58,COLLECTIONS,CANCEL2
89637,Olivia Smith,"50 Cedar Lane, Dublin",2025-03-19 09:55:07,COLLECTIONS,PRIME
60199,Sophia Brown,"114 Sunset Boulevard, Limerick",2025-03-09 07:15:36,COLLECTIONS,PRIME
46545,David Davis,"101 Sunset Boulevard, Waterford",2025-07-28 17:35:24,COLLECTIONS,PAY OVER
11449,Daniel Miller,"6 Hillcrest Road, Waterford",2025-08-16 01:20:26,COLLECTIONS,CASSIST2
19675,James Davis,"154 Hillcrest Road, Dublin",2025-08-09 03:44:39,LEGAL,LEG VERIF 1
